SNo,State,DemandID,CaseID,CaseType,FY,IssueDate,DueDate,IGST,CGST,SGST,Interest,Penalty,LateFee,TotalDemand,AppealDeposited,FinalStatus,OrderStatus,Description,ISPLNotes,WayForward,Remarks,StatusAsOnDate
16,Haryana,ZD060225001319T,35/2024-25,DRC-07 (Sec 74 - DGGI),2020-21,2025-02-02,2025-03-02,449696,,,,449696,,899392,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
17,Haryana,ZD0602250013127,35/2024-25,DRC-07 (Sec 74 - DGGI),2017-18,2025-02-02,2025-03-02,33973494,13805337,13805216,,61584168,,123168215,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
18,Himachal Pradesh,ZD0203250056107,AD0212240011335,APL-01 (Appeal Filed),2024-25,,2025-04-24,,50299,50299,10562,10060,0,121220,10060,Active,Appeal Filed,TURNOVER MISMATCH GSTR1 VS GSTR3B FY-2024-25,After DRC-06 REply filed on 07/02/2025 but Dept issued DRC-07 dt.25/03/25.Greiviance of Rectification Request filed dt.29/12/2025,To be pursue by  CA Himanshu Dubey,APPEAL  WITH CONDONATION FILED STATUS PENDING,
19,Jharkhand,ZD200225000242H,35/2024-25,DRC-07 (Sec 74 - DGGI),2018-19,2025-02-02,2025-03-02,,2454,2454,,4908,,9816,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
20,Karnataka,ZD290225003751N,35/2024-25,DRC-07 (Sec 74 - DGGI),2020-21,2025-02-02,2025-03-02,,66023,66023,,132046,,264092,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
21,Kerala,ZD3202250010459,35/2024-25,DRC-07 (Sec 74 - DGGI),2018-19,2025-02-02,2025-03-02,11351,,,,11351,,22702,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
22,Maharashtra,ZD270324041508G,AD2706240205068,APL-01 (Appeal Filed),2018-19,,2024-01-16,186613,1946671,1946671,4406352,457995,0,8944302,407998,Active,Appeal Filed,Already we have filed online & ofline supported docs but GST Dept declined all these  and issued DRC-07 dt.19-03-24  against which we have filed Appeal taht has been admited by dept.,APPEAL FILED & APL-2 ISSUED BY DEPT,under negotiation being followed by Brijmohan ji paper submmitted today,APPEAL FILED AND  HEARING UNDER PROCESS TO HANDEL BY HITESH JI,FINAL APPEAL DOCUMENTS to PRODUCE
23,Maharashtra,ZD271224017164R,AD271224006823B,ASMT-10 (Scrutiny),2022-23,2024-12-05,2025-01-04,,606570,606570,0,0,0,1213140,,Completed,Order Pending,Intimation of Return Scrutiny FY-2022-23,FINAL ORDER AWAITING FROM DEPT,meeting on 07/01/2026 in mumbai,REPLY FILED  IN DETAILS SUPPORTED COPY ALONG WITH DRC-03 PAYAMENT,
24,Maharashtra,ZD270225002570W,35/2024-25,DRC-07 (Sec 74 - DGGI),2017-18,2025-02-02,2025-03-02,12234980,,,,12234980,,24469960,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
25,Rajasthan,ZD080225000863N,35/2024-25,DRC-07 (Sec 74 - DGGI),2017-18,2025-02-02,2025-03-02,,136515,136515,,273030,,546060,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
26,TAMILNADU,ZD3304261712995,AD330426043759T,DRC-01 (Sec 73),2023-24,2026-04-20,2026-05-19,203854,589029,589029,496807,138231,,2016950,,Active,Reply Filed,SCRUTINY OF RETURN  GST AUDIT,,,ONLINE REPLY FILED_DRC-06 STATUS YET PENDING,
27,TELANGANA,ZD360526020645E,,ASMT-10 (Scrutiny),2022-23,2026-05-12,2026-06-12,2739468,2198255,2198255,,,,7135978,,Active,Reply Filed,,,,"REPLY FILED  IN DETAILS SUPPORTED COPY ALONG WITH DRC-03 PAYAMENT ON 12/06/2026,STATUS AWAITING",
28,Telangana,ZD360225002383U,35/2024-25,DRC-07 (Sec 74 - DGGI),2018-19,2025-02-02,2025-03-02,160138,269790,269790,,699718,,1399436,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
29,Uttar Pradesh,ZD090225012652O,35/2024-25,DRC-07 (Sec 74 - DGGI),2017-18,2025-02-02,2025-03-02,12620360,5319352,5319352,,23259064,,46518128,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
30,Uttar Pradesh,ZD090225012656G,35/2024-25,DRC-07 (Sec 74 - DGGI),2018-19,2025-02-02,2025-03-02,884254,,,,884254,,1768508,,Active,Reply Filed,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
31,West Bengal,ZD191223069956V,,APL-01 (Appeal Filed),2017-18,,2024-03-29,,2227492,2227492,0,497498,0,4952482,445500,Active,Appeal Filed,Excess ITC Claimed(AUDIT SCRUTINY FY-2017-18) APL-01 FILED &  HEARING APPEARED BEFORE APPEALIATE AUTHORITY,CASE IS UNDER TRIBUNAL APPEALIATE AUTHORITY,Had a telecon with Authority regarding appeal process awaiting his confirmation,HEARING ATTENDED NOW CASE UNDER Appellate Tribunal,
32,West Bengal,ZD191223069958R,,APL-01 (Appeal Filed),2018-19,,2024-03-29,,430576,430576,0,86116,0,947268,86116,Active,Appeal Filed,Short Payment of Tax (AUDIT SCRUTINY FY-2018-19) APL-01 FILED &  HEARING APPEARED BEFORE APPEALIATE AUTHORITY,CASE IS UNDER TRIBUNAL APPEALIATE AUTHORITY,Had a telecon with Authority regarding appeal process awaiting his confirmation,HEARING ATTENDED NOW CASE UNDER Appellate Tribunal,
33,West Bengal,ZD190225002834J/ ZD190625056607Y,AD190824004645X,DRC-07 (Sec 74),2017-18,2025-02-04,2025-03-02,,927509,927509,,1855018,,3710036,,Active,RECTIFICATION REJECTED,,,,DHANAASHA INFRACON ENFORCEMENT_2017-18 (RECTIFICATION REJEC TED BY DEPT) NEED URGENT ACTION TO FILE APPEAL WITH CONDONATION,
34,West Bengal,ZD190225000734N,35/2024-25,DRC-07 (Sec 74 - DGGI),2017-18,2025-02-02,2025-03-02,6751699,4080848,4080848,,14913395,,29826790,,Active,WRIT FILED AT HIGH CRT,,,,DELHI HIGH COURT DIARY No 4003818/2025 _WP© DT.02-06-2026,
